rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n0,false,0.8385611670362504,0.746446853383712,0,9002,false,501,4,0.4980477120012749,0.4450878813640151,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n1,true,0.152584631148873,0.7542458758323816,20,6571,false,500,1,0.24486701391518495,0.219915457707192,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n2,false,0.6639924350322308,0.8003528173131926,0,20699,false,0,0,0.4121270694795848,0.8972759475418117,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n3,false,0.008177630270822345,0.734053548110419,0,8944,false,501,3,0.5144337102074323,0.07595471670217813,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n4,true,0.8463534038889801,0.7797815630082817,19,19288,false,0,1,0.3302299236162659,0.840575071327416,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n6,false,0.5547303299795985,0.8436641981430812,0,20699,false,500,0,0.8462237315786152,0.7929599181749184,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n9,false,0.47393353958679973,0.3467547303406848,0,8917,false,501,3,0.6984883332339332,0.36557837127056514,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n10,false,0.46874225942654185,0.6052875139547479,0,13576,false,501,3,0.6179265606682179,0.4620361204540254,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n12,true,0.8729022467302371,0.46931172469547855,13,20699,false,0,0,0.08411280914527236,0.5597288968719627,null
17803090,51090126,1441901,13937054,2424135,1100981,340920,8999677,0,1578643,845492,405070,695911,2760087,2518210,2096371,0,588751,989892,270601,574891,1096466,49993660,298087,785805,12574,121709,176378,53305,68404,118107,58271,775334,10471,303256,472078,10471,0,1822,10752,1318,504,10752,0,21847872,28145788,7430498,14417374,12343858,15801930,n13,false,0.8321213986875511,0.770227106546004,0,17014,false,501,3,0.032908705347140965,0.05722521380729462,null
