rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n0,false,0.8444432140725397,0.746446853383712,0,4774,false,500,2,0.4980477120012749,0.4450878813640151,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n1,true,0.14999012914301327,0.7542458758323816,13,20970,false,500,1,0.24486701391518495,0.219915457707192,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n2,true,0.6543817057830625,0.8003528173131926,11,8718,false,501,5,0.4121270694795848,0.8972759475418117,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n3,false,0.008498606576673737,0.734053548110419,0,3954,false,503,8,0.5144337102074323,0.07595471670217813,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n4,true,0.905155427117222,0.7797815630082817,9,1148,false,501,4,0.3302299236162659,0.840575071327416,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n6,true,0.5567866236609308,0.8436641981430812,10,4099,false,501,4,0.8462237315786152,0.7929599181749184,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n9,false,0.48623253265311367,0.3467547303406848,0,1629,false,503,7,0.6984883332339332,0.36557837127056514,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n10,false,0.4921299563204698,0.6052875139547479,0,28099,false,0,0,0.6179265606682179,0.4620361204540254,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n12,true,0.8812254787058194,0.46931172469547855,10,8210,false,500,3,0.08411280914527236,0.5597288968719627,null
1454626,4052778,56580,1300662,97384,34452,22128,801459,0,54172,43212,11893,22559,204089,317242,217347,0,20673,33499,18154,25058,84277,3968501,8517,75632,128,3508,5009,2504,1004,4007,1002,75603,29,23591,52012,29,0,0,128,0,0,128,0,1487658,2480843,407964,1079694,1167386,1313457,n13,true,0.8268790010856083,0.770227106546004,13,28099,false,0,0,0.032908705347140965,0.05722521380729462,null
