rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n0,false,0.7828161534742887,0.746446853383712,0,1399,false,500,1,0.4980477120012749,0.4450878813640151,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n1,false,0.14865222702755534,0.7542458758323816,0,3218,false,500,1,0.24486701391518495,0.219915457707192,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n2,false,0.6176062500045372,0.8003528173131926,0,2871,false,500,1,0.4121270694795848,0.8972759475418117,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n3,false,0.0078113096601176765,0.734053548110419,0,11500,false,0,0,0.5144337102074323,0.07595471670217813,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n4,true,0.8424270162034311,0.7797815630082817,11,11500,false,0,0,0.3302299236162659,0.840575071327416,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n6,true,0.46540732113002037,0.8436641981430812,12,11500,false,0,0,0.8462237315786152,0.7929599181749184,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n9,false,0.4702888773347777,0.3467547303406848,0,1596,false,501,3,0.6984883332339332,0.36557837127056514,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n10,false,0.4201423620562874,0.6052875139547479,0,2029,false,500,2,0.6179265606682179,0.4620361204540254,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n12,false,0.8781290334438033,0.46931172469547855,0,1590,false,502,5,0.08411280914527236,0.5597288968719627,null
15456243,45753969,1390006,11942154,2124083,1060486,329520,7774188,0,1427511,696572,391566,668920,2311308,2186178,1744461,0,525238,902273,220021,476551,1004377,44749592,285560,707483,11334,117197,168363,52300,64897,112595,55768,697533,9950,276008,421525,9950,0,1817,9517,1314,503,9517,0,19419789,25329803,6575293,12844496,11176310,14153493,n13,false,0.8300437037800509,0.770227106546004,0,7615,false,500,2,0.032908705347140965,0.05722521380729462,null
