rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n0,false,0.7794027277181085,0.746446853383712,0,561,false,500,1,0.4980477120012749,0.4450878813640151,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n1,false,0.14826030467294635,0.7542458758323816,0,2200,false,0,0,0.24486701391518495,0.219915457707192,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n2,false,0.6138319226957089,0.8003528173131926,0,1262,false,500,2,0.4121270694795848,0.8972759475418117,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n3,false,0.007448650519393525,0.734053548110419,0,2200,false,500,0,0.5144337102074323,0.07595471670217813,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n4,false,0.8485482894652563,0.7797815630082817,0,2200,false,0,0,0.3302299236162659,0.840575071327416,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n6,false,0.4743203260143449,0.8436641981430812,0,2200,false,500,0,0.8462237315786152,0.7929599181749184,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n9,false,0.44386809178604014,0.3467547303406848,0,2200,false,500,0,0.6984883332339332,0.36557837127056514,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n10,false,0.4195042339987631,0.6052875139547479,0,2200,false,500,0,0.6179265606682179,0.4620361204540254,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n12,false,0.8744049230123884,0.46931172469547855,0,472,false,501,2,0.08411280914527236,0.5597288968719627,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n13,false,0.8275821435140219,0.770227106546004,0,2200,false,0,0,0.032908705347140965,0.05722521380729462,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n15,false,0.2876114219122004,0.7453848249619409,0,1698,false,500,1,0.3777788934913462,0.8952486235541306,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n19,false,0.5756461355141643,0.8660997797776264,0,715,false,500,1,0.025086569532347502,0.8345130043941151,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n23,false,0.3131850156650989,0.6869305902518238,0,2200,false,0,0,0.7357288745401944,0.6071228680604048,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n26,false,0.5961182790242207,0.7283967725978981,0,2200,false,500,0,0.8628953556936059,0.5069426793701881,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n29,false,0.027208716597809175,0.6845589457431854,0,2200,false,0,0,0.5402437750472555,0.7207749337085737,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n35,false,0.0942934730441358,0.9640997661167149,0,2200,false,0,0,0.06949560417371914,0.36943808839464876,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n36,false,0.4718333162453935,0.6715736316996999,0,2200,false,0,0,0.47895824116147556,0.47494003247339733,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n37,false,0.7315687688074338,0.594046994672088,0,2200,false,0,0,0.22258278951592947,0.9176479534733712,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n39,false,0.820113088191096,0.8209471485134687,0,2200,false,500,0,0.6282187731189162,0.8741847330930175,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n45,false,0.5041926535538345,0.5217542564532285,0,1035,false,500,1,0.5718414816600195,0.5195569796655163,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n46,false,0.12482418252368578,0.5737464924266803,0,2200,false,500,0,0.4548321788886257,0.8787689766806486,null
5312042,18795370,330596,4569471,411975,236365,94231,2954666,0,249164,162811,55482,180883,806650,902386,605692,0,67721,181443,58857,103954,473705,18321665,192508,279286,1911,79942,112566,35402,44540,74563,38003,279062,224,106566,172496,224,0,3,1908,0,3,1908,0,7957790,10363875,2663094,5294696,4633186,5730689,n47,false,0.5074591478848897,0.6467698614541888,0,2200,false,500,0,0.2790971915137339,0.9147152123803776,null
