rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n0,false,0.8117948732245293,0.746446853383712,0,8661,false,500,1,0.4980477120012749,0.4450878813640151,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n1,true,0.14975632812276357,0.7542458758323816,6,3973,false,0,1,0.24486701391518495,0.219915457707192,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n2,true,0.6298810676688015,0.8003528173131926,9,1800,false,500,3,0.4121270694795848,0.8972759475418117,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n3,true,0.007619058186200468,0.734053548110419,6,3699,false,500,1,0.5144337102074323,0.07595471670217813,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n4,false,0.8718233815704364,0.7797815630082817,0,10300,false,0,0,0.3302299236162659,0.840575071327416,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n6,true,0.49525989774523954,0.8436641981430812,9,2978,false,500,1,0.8462237315786152,0.7929599181749184,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n9,false,0.46967320538399754,0.3467547303406848,0,6452,false,501,2,0.6984883332339332,0.36557837127056514,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n10,false,0.44126842595897026,0.6052875139547479,0,6666,false,501,2,0.6179265606682179,0.4620361204540254,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n12,false,0.8806176458911082,0.46931172469547855,0,5444,false,502,4,0.08411280914527236,0.5597288968719627,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n13,false,0.8297864313975187,0.770227106546004,0,10300,false,0,0,0.032908705347140965,0.05722521380729462,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n15,false,0.2963348871286406,0.7453848249619409,0,9798,false,500,1,0.3777788934913462,0.8952486235541306,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n19,true,0.5763257954762921,0.8660997797776264,8,2966,false,500,2,0.025086569532347502,0.8345130043941151,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n23,false,0.3325744749809415,0.6869305902518238,0,10300,false,0,0,0.7357288745401944,0.6071228680604048,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n26,false,0.6336259505801212,0.7283967725978981,0,4870,false,501,2,0.8628953556936059,0.5069426793701881,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n29,false,0.028436318951441115,0.6845589457431854,0,10300,false,0,0,0.5402437750472555,0.7207749337085737,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n35,false,0.09481161710375938,0.9640997661167149,0,2106,false,500,2,0.06949560417371914,0.36943808839464876,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n36,true,0.4821984111880703,0.6715736316996999,9,3683,false,500,3,0.47895824116147556,0.47494003247339733,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n37,true,0.7447518960032298,0.594046994672088,9,218,false,0,1,0.22258278951592947,0.9176479534733712,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n39,false,0.8623334184121579,0.8209471485134687,0,10300,false,500,0,0.6282187731189162,0.8741847330930175,null
5541187,20153825,340540,4787411,413236,236501,104039,3088955,0,249542,163694,55515,180986,840806,961689,654016,0,67726,181816,58857,104837,482662,19671163,192508,288229,1925,79942,112566,35402,44540,74563,38003,288005,224,109925,178080,224,0,3,1922,0,3,1922,0,8479835,11191328,2831884,5647951,5022753,6168575,n45,false,0.5279112667570871,0.5217542564532285,0,4456,false,502,5,0.5718414816600195,0.5195569796655163,null
