rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n0,true,0.7771457452988876,0.746446853383712,13,7199,false,0,0,0.4980477120012749,0.4450878813640151,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n1,false,0.14872210964597476,0.7542458758323816,0,3179,false,500,1,0.24486701391518495,0.219915457707192,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n2,false,0.6283083395924766,0.8003528173131926,0,7199,false,0,0,0.4121270694795848,0.8972759475418117,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n3,false,0.007540834227471621,0.734053548110419,0,4699,false,500,1,0.5144337102074323,0.07595471670217813,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n4,false,0.86307958835585,0.7797815630082817,0,7199,false,0,0,0.3302299236162659,0.840575071327416,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n6,false,0.490724424530101,0.8436641981430812,0,6215,false,500,1,0.8462237315786152,0.7929599181749184,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n9,true,0.44196356617856974,0.3467547303406848,13,5620,false,0,1,0.6984883332339332,0.36557837127056514,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n10,false,0.43271679624344433,0.6052875139547479,0,7199,false,500,0,0.6179265606682179,0.4620361204540254,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n12,false,0.8782519794997795,0.46931172469547855,0,7191,false,500,1,0.08411280914527236,0.5597288968719627,null
7002313,23964903,402505,5982882,616926,272723,129782,3898220,0,374793,242133,76100,196623,1046674,1167770,821869,0,103595,271198,86351,155782,559569,23405334,201025,354650,3894,84951,116074,38407,46544,77574,38500,353820,830,139565,214255,830,0,346,3548,343,3,3548,0,10068088,13337246,3330816,6737272,5990945,7346301,n13,false,0.8286918413693674,0.770227106546004,0,4837,false,500,2,0.032908705347140965,0.05722521380729462,null
