rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n0,false,0.8714664211930674,0.746446853383712,0,22228,false,500,2,0.4980477120012749,0.4450878813640151,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n1,false,0.15676365130236314,0.7542458758323816,0,25098,false,500,1,0.24486701391518495,0.219915457707192,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n2,false,0.6734007941486818,0.8003528173131926,0,23896,false,500,1,0.4121270694795848,0.8972759475418117,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n3,false,0.008388169192378522,0.734053548110419,0,1157,false,501,4,0.5144337102074323,0.07595471670217813,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n4,true,0.8474713224564633,0.7797815630082817,11,18576,false,501,3,0.3302299236162659,0.840575071327416,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n6,false,0.5783226295075349,0.8436641981430812,0,25599,false,500,0,0.8462237315786152,0.7929599181749184,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n9,false,0.5098500866054145,0.3467547303406848,0,2629,false,502,4,0.6984883332339332,0.36557837127056514,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n10,false,0.4800512863350912,0.6052875139547479,0,12023,false,500,2,0.6179265606682179,0.4620361204540254,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n12,false,0.8852087611603554,0.46931172469547855,0,4565,false,505,11,0.08411280914527236,0.5597288968719627,null
3141546,13792070,303802,2648615,189129,214745,89057,1776982,0,107405,81724,50864,163881,380692,579998,437717,0,29893,77512,28546,53178,316879,13475191,95791,219889,1199,38824,56967,17344,21480,37810,19157,219845,44,81886,137959,44,0,2,1197,0,2,1197,0,5646730,7828461,1730507,3916223,3649226,4179235,n13,false,0.8336372310430387,0.770227106546004,0,20924,false,503,7,0.032908705347140965,0.05722521380729462,null
