rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n0,false,0.8056808743456231,0.746446853383712,0,1672,false,105,10,0.4980477120012749,0.4450878813640151,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n1,true,0.15001262920734637,0.7542458758323816,0,60,false,103,7,0.24486701391518495,0.219915457707192,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n2,false,0.6262508742999372,0.8003528173131926,0,1098,false,109,18,0.4121270694795848,0.8972759475418117,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n3,false,0.007636067557783986,0.734053548110419,0,2512,false,107,14,0.5144337102074323,0.07595471670217813,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n4,true,0.8641763894931005,0.7797815630082817,0,49,false,108,17,0.3302299236162659,0.840575071327416,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n6,false,0.47634522998654266,0.8436641981430812,0,2,false,104,18,0.8462237315786152,0.7929599181749184,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n9,false,0.4579441671610328,0.3467547303406848,0,1878,false,108,16,0.6984883332339332,0.36557837127056514,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n10,true,0.4218305066183645,0.6052875139547479,0,75,false,35,17,0.6179265606682179,0.4620361204540254,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n12,true,0.8769531343590594,0.46931172469547855,0,967,false,103,11,0.08411280914527236,0.5597288968719627,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n13,true,0.8270361221535434,0.770227106546004,0,753,false,110,21,0.032908705347140965,0.05722521380729462,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n15,true,0.2863344007769672,0.7453848249619409,0,1383,false,16,15,0.3777788934913462,0.8952486235541306,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n19,false,0.5764987182874473,0.8660997797776264,0,1961,false,105,11,0.025086569532347502,0.8345130043941151,null
9633335,4650361,8537862,891633,203840,8250193,287669,319400,585,169407,34433,3786215,4463978,167311,120358,40930,0,125752,43655,20995,13438,69595,4580766,15851,30876,22868,5826,10025,2289,3537,6813,3212,23775,7101,3914,19861,7101,0,752,22116,316,436,22116,0,1440381,3140385,369473,1070908,1130448,2009937,n23,false,0.31365514312601406,0.6869305902518238,0,515,false,105,17,0.7357288745401944,0.6071228680604048,null
