rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n0,true,0.7771457452988876,0.746446853383712,12,26999,false,0,0,0.4980477120012749,0.4450878813640151,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n1,true,0.1493898760232863,0.7542458758323816,12,21753,false,500,1,0.24486701391518495,0.219915457707192,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n2,true,0.6101721796345212,0.8003528173131926,12,26999,false,0,0,0.4121270694795848,0.8972759475418117,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n3,true,0.008453936954590204,0.734053548110419,11,269,false,0,1,0.5144337102074323,0.07595471670217813,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n4,true,0.8424270162034311,0.7797815630082817,14,26999,false,0,0,0.3302299236162659,0.840575071327416,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n6,true,0.46540732113002037,0.8436641981430812,10,26999,false,0,0,0.8462237315786152,0.7929599181749184,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n9,false,0.5278470487409247,0.3467547303406848,0,26999,false,0,0,0.6984883332339332,0.36557837127056514,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n10,true,0.41384176336585166,0.6052875139547479,11,15255,false,1,2,0.6179265606682179,0.4620361204540254,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n12,false,0.8934974306624812,0.46931172469547855,0,12877,false,501,4,0.08411280914527236,0.5597288968719627,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n13,false,0.8344462474215856,0.770227106546004,0,1671,false,503,8,0.032908705347140965,0.05722521380729462,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n15,true,0.29598246008115614,0.7453848249619409,10,17698,false,0,1,0.3777788934913462,0.8952486235541306,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n19,true,0.576158686063186,0.8660997797776264,12,22674,false,0,1,0.025086569532347502,0.8345130043941151,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n23,true,0.3254679287861164,0.6869305902518238,10,2770,false,502,6,0.7357288745401944,0.6071228680604048,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n26,true,0.5848171286792349,0.7283967725978981,11,26999,false,0,0,0.8628953556936059,0.5069426793701881,null
11062676,29665340,657391,9521636,883649,440545,216846,6151153,0,523377,360272,177274,263271,1856712,1730617,1296024,0,147785,375592,113362,246910,645656,29019684,215359,424233,6064,91998,123361,42183,49815,82336,41025,420003,4230,160950,259053,4230,0,350,5714,344,6,5714,0,12293179,16726505,4107872,8185307,7464944,9261561,n29,true,0.027261007249739455,0.6845589457431854,10,3561,false,500,4,0.5402437750472555,0.7207749337085737,null
