rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n0,true,0.7771457452988876,0.746446853383712,12,9900,false,0,0,0.4980477120012749,0.4450878813640151,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n1,true,0.1493898760232863,0.7542458758323816,12,4654,false,500,1,0.24486701391518495,0.219915457707192,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n2,true,0.6101721796345212,0.8003528173131926,13,9900,false,0,0,0.4121270694795848,0.8972759475418117,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n3,false,0.0077529442732800135,0.734053548110419,0,9900,false,0,0,0.5144337102074323,0.07595471670217813,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n4,true,0.8424270162034311,0.7797815630082817,12,9900,false,0,0,0.3302299236162659,0.840575071327416,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n6,true,0.46540732113002037,0.8436641981430812,11,9900,false,0,0,0.8462237315786152,0.7929599181749184,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n9,false,0.46824289159644467,0.3467547303406848,0,9900,false,0,0,0.6984883332339332,0.36557837127056514,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n10,true,0.4138459018248699,0.6052875139547479,12,9900,false,0,0,0.6179265606682179,0.4620361204540254,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n12,false,0.8800454332715851,0.46931172469547855,0,5845,false,500,2,0.08411280914527236,0.5597288968719627,null
9387061,27989551,644124,7905965,836972,434826,209298,5148205,0,504249,332723,174687,260139,1445441,1521617,1118929,0,139743,364506,105700,227023,632258,27357293,215359,411108,5791,91998,123361,42183,49815,82336,41025,408914,2194,156966,251948,2194,0,350,5441,344,6,5441,0,11628052,15729241,3892643,7735409,7040645,8688596,n13,false,0.8296702700094158,0.770227106546004,0,6878,false,500,2,0.032908705347140965,0.05722521380729462,null
