rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n0,false,0.8891955998308821,0.746446853383712,0,19841,false,502,4,0.4980477120012749,0.4450878813640151,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n1,false,0.15765817451077513,0.7542458758323816,0,9871,false,502,4,0.24486701391518495,0.219915457707192,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n2,false,0.6317798564320514,0.8003528173131926,0,331,false,502,4,0.4121270694795848,0.8972759475418117,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n3,false,0.008444642782297992,0.734053548110419,0,8403,false,501,4,0.5144337102074323,0.07595471670217813,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n4,false,0.9179074805026386,0.7797815630082817,0,3544,false,502,4,0.3302299236162659,0.840575071327416,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n6,true,0.5175222144448782,0.8436641981430812,0,14362,false,501,3,0.8462237315786152,0.7929599181749184,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n9,false,0.5272298318167828,0.3467547303406848,0,14396,false,504,8,0.6984883332339332,0.36557837127056514,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n10,false,0.48535126655539573,0.6052875139547479,0,7958,false,502,4,0.6179265606682179,0.4620361204540254,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n12,false,0.8931311736350128,0.46931172469547855,0,2270,false,501,2,0.08411280914527236,0.5597288968719627,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n13,false,0.8344545918840598,0.770227106546004,0,5181,false,506,12,0.032908705347140965,0.05722521380729462,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n15,true,0.3096151178651603,0.7453848249619409,0,5736,false,504,9,0.3777788934913462,0.8952486235541306,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n19,true,0.5788903583018459,0.8660997797776264,0,3840,false,501,3,0.025086569532347502,0.8345130043941151,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n23,false,0.3753553640732695,0.6869305902518238,0,2975,false,504,8,0.7357288745401944,0.6071228680604048,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n26,false,0.7373834475994621,0.7283967725978981,0,7643,false,503,7,0.8628953556936059,0.5069426793701881,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n29,false,0.031039069781105693,0.6845589457431854,0,4359,false,503,7,0.5402437750472555,0.7207749337085737,null
552874,4719330,523933,2944,25997,457725,66208,1763,0,18661,7336,100518,357207,18887,48502,6,0,10806,7855,4,7332,97642,4621688,65023,31517,1102,33793,31230,17473,16320,20818,10412,31516,1,9337,22179,1,0,2,1100,0,2,1100,0,2066994,2554694,706148,1360846,1046786,1507908,n35,false,0.09593605598941919,0.9640997661167149,0,5271,false,505,10,0.06949560417371914,0.36943808839464876,null
