rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n0,true,0.7771690595935233,0.746446853383712,0,2050,false,28,16,0.4980477120012749,0.4450878813640151,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n1,false,0.14750610570261807,0.7542458758323816,0,5509,false,100,17,0.24486701391518495,0.219915457707192,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n2,false,0.6176124258199905,0.8003528173131926,0,42,false,106,12,0.4121270694795848,0.8972759475418117,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n3,false,0.0073660597736696625,0.734053548110419,0,5478,false,100,21,0.5144337102074323,0.07595471670217813,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n4,false,0.850306594681106,0.7797815630082817,0,2529,false,101,13,0.3302299236162659,0.840575071327416,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n6,false,0.48813047778697893,0.8436641981430812,0,493,false,105,10,0.8462237315786152,0.7929599181749184,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n9,false,0.44050309214183697,0.3467547303406848,0,214,false,107,18,0.6984883332339332,0.36557837127056514,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n10,false,0.4199617405801099,0.6052875139547479,0,855,false,101,4,0.6179265606682179,0.4620361204540254,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n12,true,0.8731466921832567,0.46931172469547855,0,1050,false,108,17,0.08411280914527236,0.5597288968719627,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n13,false,0.8292223712466508,0.770227106546004,0,137,false,105,11,0.032908705347140965,0.05722521380729462,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n15,false,0.28613403797651515,0.7453848249619409,0,354,false,100,24,0.3777788934913462,0.8952486235541306,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n19,false,0.5769081756703184,0.8660997797776264,0,3059,false,104,8,0.025086569532347502,0.8345130043941151,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n23,false,0.3084976405153145,0.6869305902518238,0,138,false,100,21,0.7357288745401944,0.6071228680604048,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n26,false,0.5904288573187033,0.7283967725978981,0,34,false,102,10,0.8628953556936059,0.5069426793701881,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n29,false,0.026898686123408552,0.6845589457431854,0,12000,false,100,1,0.5402437750472555,0.7207749337085737,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n35,false,0.09417285521360734,0.9640997661167149,0,12000,false,100,1,0.06949560417371914,0.36943808839464876,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n36,true,0.46689100294262,0.6715736316996999,0,335,false,16,10,0.47895824116147556,0.47494003247339733,null
1629695,722305,673870,774486,181339,627745,46125,341302,445,136363,44976,347556,280189,28007,18118,28110,0,117754,18609,35757,9219,18033,704272,4053,7796,6184,1187,2866,269,918,2157,709,5217,2579,1121,4096,2579,0,5,6179,0,5,6179,0,131538,572734,33914,97624,572734,0,n37,true,0.7320151592206141,0.594046994672088,0,1211,false,106,26,0.22258278951592947,0.9176479534733712,null
