rtA1,rtA2,rtA1a,rtA1b,rtA1c,rtA1a1,rtA1a2,rtA1b1,rtA1b2,rtA1c1,rtA1c2,rtA1a1a,rtA1a1b,rtA1a2a,rtA1a2b,rtA1b1a,rtA1b1b,rtA1c1a,rtA1c1b,rtA1c2a,rtA1c2b,rtA2a,rtA2b,rtA2a1,rtA2a2,rtA2a3,rtA2a1A,rtA2a1B,rtA2a1A1,rtA2a1A2,rtA2a1B1,rtA2a1B2,rtA2a2A,rtA2a2B,rtA2a2A1,rtA2a2A2,rtA2a2B1,rtA2a2B2,rtA2a3A,rtA2a3B,rtA2a3A1,rtA2a3A2,rtA2a3B1,rtA2a3B2,rtA2b1,rtA2b2,rtA2b1A,rtA2b1B,rtA2b2A,rtA2b2B,id,isSmoker,willpower,health,smokedPerDay,turnsSinceLastChange,givingUp,stepsSinceGiveUp,giveUpAttempts,influenceability,sociable,$SWITCH_TABLE$simconsts$Operations
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n0,false,0.8111375888997222,0.746446853383712,0,8499,false,500,0,0.4980477120012749,0.4450878813640151,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n1,true,0.15040015956727615,0.7542458758323816,10,512,false,500,1,0.24486701391518495,0.219915457707192,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n2,true,0.6215218622279913,0.8003528173131926,10,3969,false,500,1,0.4121270694795848,0.8972759475418117,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n3,false,0.007688861467754648,0.734053548110419,0,8499,false,500,0,0.5144337102074323,0.07595471670217813,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n4,true,0.8476408328238757,0.7797815630082817,11,6651,false,0,1,0.3302299236162659,0.840575071327416,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n6,true,0.4834765392810214,0.8436641981430812,11,3971,false,500,1,0.8462237315786152,0.7929599181749184,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n9,false,0.4587462673051691,0.3467547303406848,0,1444,false,502,4,0.6984883332339332,0.36557837127056514,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n10,false,0.4359961556189741,0.6052875139547479,0,7916,false,501,2,0.6179265606682179,0.4620361204540254,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n12,false,0.8789372798496852,0.46931172469547855,0,8499,false,0,0,0.08411280914527236,0.5597288968719627,null
3531967,15930049,326302,3008764,196901,232247,94055,2012755,0,111421,85480,55419,176828,441476,648588,477646,0,29942,81479,31727,53753,393974,15536075,146011,246723,1240,63364,82647,27874,35490,54906,27741,246678,45,94883,151795,45,0,2,1238,0,2,1238,0,6593089,8942986,2101198,4491891,4121460,4821526,n13,false,0.8289073281827628,0.770227106546004,0,7660,false,500,1,0.032908705347140965,0.05722521380729462,null
